,Index_Data,Prediction
0,7,0.0
1,19,3713.3381
2,31,5794.837
3,45,3434.286
4,56,3878.8113
5,57,5164.7134
6,61,4988.217
7,63,7974.228
8,79,5643.713
9,81,10566.962
10,84,3078.39
11,86,7600.2563
12,90,4891.578
13,96,5407.9473
14,105,0.0
15,108,5438.386
16,124,16384.607
17,126,6761.942
18,133,7526.9165
19,146,5765.149
20,151,0.0
21,160,9423.276
22,164,6888.4146
23,167,9865.517
24,190,0.0
25,194,7288.769
26,206,10709.668
27,214,0.0
28,217,10753.177
29,220,9461.494
30,221,5760.7983
31,225,6926.8643
32,226,3657.6816
33,232,7735.856
34,250,5662.9556
35,264,6328.577
36,269,7479.01
37,271,7399.1523
38,280,9959.623
39,281,0.0
40,284,3385.4468
41,302,7249.7085
42,323,6004.51
43,327,0.0
44,336,4659.096
45,351,4627.3813
46,377,5545.9414
47,382,3856.178
48,388,9063.203
49,392,0.0
50,402,0.0
51,408,6785.286
52,427,7361.4956
53,466,0.0
54,469,0.0
55,472,0.0
56,477,0.0
57,508,4487.4844
58,513,11811.442
59,516,7331.4688
60,530,4614.533
61,558,3511.5698
62,576,14960.352
63,588,7259.764
64,595,5933.4233
65,600,5276.6836
66,601,7925.458
67,609,4789.759
68,612,6066.3926
69,615,8599.345
70,625,5203.582
71,632,0.0
72,645,6042.012
73,666,6013.2847
74,668,5818.654
75,672,11680.797
76,699,15368.797
77,717,6266.1484
78,737,4161.627
79,744,7112.8276
80,747,16961.906
81,764,8248.965
82,775,6620.297
83,788,0.0
84,795,8045.4155
85,802,8990.628
86,811,8092.625
87,840,10053.03
88,849,13662.281
89,859,9262.447
90,871,0.0
91,872,12083.984
92,881,4322.5537
93,883,7952.832
94,890,4910.4126
95,896,6180.742
96,902,0.0
97,905,8975.211
98,921,10828.593
99,967,8774.774
100,973,6009.2725
101,1001,3226.1301
102,1016,0.0
103,1021,8667.74
104,1026,4322.4976
105,1030,7416.9233
106,1044,5016.0815
107,1063,10434.993
108,1067,7799.3
109,1075,7577.7466
110,1086,0.0
111,1097,4650.279
112,1117,13539.041
113,1122,5171.0
114,1125,7759.291
115,1129,5810.178
116,1141,5882.8154
117,1149,0.0
118,1151,4879.2666
119,1159,6092.2227
120,1173,6327.8164
121,1184,0.0
122,1193,5343.4644
123,1241,5138.202
124,1249,0.0
125,1250,5977.48
126,1261,0.0
127,1273,7417.041
128,1282,0.0
129,1296,7796.749
130,1309,2554.982
131,1332,5534.023
132,1336,6004.76
133,1357,5190.5713
134,1372,6550.973
